City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,mahebourg,-20.4081,57.7,27.16,78,75,3.6,MU,1675717476
114,nortelandia,-14.4547,-56.8028,24.73,88,98,1.21,BR,1675717477
115,sao jose da coroa grande,-8.8978,-35.1478,25.97,74,100,4.12,BR,1675717477
116,zhuhai,22.2769,113.5678,19.88,94,40,1.54,CN,1675717478
117,lubyany,56.0378,51.4,-19.75,100,98,1.91,RU,1675717478
118,bangassou,4.7413,22.8184,23.92,21,2,0.99,CF,1675717478
119,ponferrada,42.5466,-6.5962,5.9,43,0,2.39,ES,1675717463
120,kruisfontein,-34.0033,24.7314,22.16,91,84,0.86,ZA,1675717479
121,wagar,16.1525,36.2032,23.79,60,44,6.53,SD,1675717480
122,vila velha,-20.3297,-40.2925,27.19,80,0,3.09,BR,1675717409
123,duku,11.2361,4.9073,30.07,12,100,3.89,NG,1675717480
124,leningradskiy,69.3833,178.4167,-34.55,98,98,3.62,RU,1675717481
125,kenai,60.5544,-151.2583,-1.06,93,100,4.63,US,1675717481
126,abu dhabi,24.4667,54.3667,21.01,79,0,1.54,AE,1675717022
127,prestea,5.4327,-2.1428,24.39,90,100,2.31,GH,1675717481
128,sungaipenuh,-2.0833,101.3833,17.55,87,91,0.85,ID,1675717482
129,yongchang,30.0381,119.7317,8.78,98,100,1.22,CN,1675717482
130,chuy,-33.6971,-53.4616,25.31,56,100,4.07,UY,1675717482
131,mezen,65.8522,44.24,-16.48,98,86,2.88,RU,1675717483
132,bismarck,46.8083,-100.7837,3.14,79,40,10.8,US,1675717202
133,sorkjosen,69.8,20.9333,10.0,62,100,1.03,NO,1675717483
134,cockburn town,21.4612,-71.1419,26.98,65,40,5.66,TC,1675717484
135,sioux lookout,50.1001,-91.917,0.04,64,100,6.69,CA,1675717202
136,dudinka,69.4058,86.1778,-22.99,98,99,2.67,RU,1675717484
137,huarmey,-10.0681,-78.1522,24.79,74,59,3.49,PE,1675717339
138,abeche,13.8292,20.8324,23.25,14,26,3.75,TD,1675717485
139,komsomolskiy,40.4272,71.7189,1.4,93,61,2.06,UZ,1675717485
140,ballina,-28.8667,153.5667,20.43,98,99,1.81,AU,1675717486
141,hoa binh,20.8133,105.3383,21.59,98,100,1.2,VN,1675717487
142,cidreira,-30.1811,-50.2056,25.56,65,12,3.86,BR,1675717488
143,east london,-33.0153,27.9116,24.24,84,1,8.11,ZA,1675717489
144,mangai,-4.05,19.5333,22.31,78,93,0.58,CD,1675717490
145,emerald,-23.5333,148.1667,25.19,89,52,4.03,AU,1675717491
146,vestmannaeyjar,63.4427,-20.2734,2.34,53,100,15.54,IS,1675717491
147,rio gallegos,-51.6226,-69.2181,22.03,30,75,9.77,AR,1675717353
148,salta,-24.7859,-65.4117,30.88,41,40,3.6,AR,1675717491
149,yar-sale,66.8333,70.8333,-25.53,100,90,2.1,RU,1675717492
150,gobabis,-22.45,18.9667,22.81,60,100,2.62,NA,1675717492
151,talnakh,69.4865,88.3972,-23.22,99,100,2.32,RU,1675717493
152,takoradi,4.8845,-1.7554,26.52,86,76,4.77,GH,1675717493
153,celestun,20.8667,-90.4,24.94,70,23,6.39,MX,1675717494
154,iqaluit,63.7506,-68.5145,-31.15,62,40,5.66,CA,1675717223
155,santa cruz,-17.8,-63.1667,31.03,55,40,6.17,BO,1675717303
156,isilkul,54.9109,71.2728,-21.49,100,100,1.71,RU,1675717495
157,acapulco,16.8634,-99.8901,28.9,65,0,6.17,MX,1675717496
158,richards bay,-28.783,32.0377,22.63,92,0,1.49,ZA,1675717496
159,stokmarknes,68.5646,14.9108,6.99,87,100,5.66,NO,1675717497
160,east wenatchee,47.4157,-120.2931,10.6,64,0,4.47,US,1675717199
161,nhulunbuy,-12.2333,136.7667,25.34,88,40,1.54,AU,1675717497
162,korla,41.7597,86.1469,-0.05,58,100,1.73,CN,1675717231
163,iquique,-20.2208,-70.1431,26.02,76,97,3.79,CL,1675717497
164,santa lucia,27.9117,-15.5407,11.54,77,40,4.12,ES,1675717498
165,batagay-alyta,67.8006,130.4114,-40.98,96,27,1.99,RU,1675717327
166,kibala,9.1104,18.3463,23.97,46,0,0.51,TD,1675717498
167,tuchola,53.5879,17.8591,-3.42,90,81,1.78,PL,1675716985
168,mitsamiouli,-11.3847,43.2844,27.36,80,99,4.81,KM,1675717499
169,tiarei,-17.5333,-149.3333,29.01,76,34,7.23,PF,1675717394
170,yulara,-25.2406,130.9889,22.15,24,0,3.15,AU,1675717499
171,beisfjord,68.3751,17.5988,7.25,92,100,4.11,NO,1675717499
172,kaitangata,-46.2817,169.8464,19.66,48,13,4.49,NZ,1675717500
173,paslek,54.0616,19.6593,-1.45,89,83,2.61,PL,1675717500
174,labrea,-7.2586,-64.7981,26.42,92,100,0.72,BR,1675717501
175,lasa,46.6166,10.7002,-0.91,96,93,1.93,IT,1675717502
176,pasni,25.2631,63.471,21.42,46,6,4.4,PK,1675717504
177,krasnoselkup,65.7,82.4667,-20.71,99,99,2.11,RU,1675717507
178,severo-kurilsk,50.6789,156.125,-4.16,71,100,11.3,RU,1675717508
179,bengkulu,-3.8004,102.2655,24.14,84,82,2.7,ID,1675717508
180,boshan,36.4833,117.8333,1.33,74,95,0.94,CN,1675717510
181,fort nelson,58.8053,-122.7002,-8.36,61,40,1.34,CA,1675717512
182,oktyabrskiy,54.4815,53.471,-15.31,100,96,0.93,RU,1675717513
183,belyy yar,53.6039,91.3903,-23.97,82,40,0.0,RU,1675717514
184,dunedin,-45.8742,170.5036,19.22,57,3,2.42,NZ,1675717517
185,aykhal,66.0,111.5,-36.51,100,99,1.68,RU,1675717517
186,busdi,8.2761,125.2514,18.76,99,94,1.53,PH,1675717518
187,hobyo,5.3505,48.5268,24.7,80,70,7.94,SO,1675717519
188,baghdad,33.3406,44.4009,14.32,36,0,2.92,IQ,1675717520
189,victoria,22.2855,114.1577,20.53,90,99,4.02,HK,1675717408
190,marsh harbour,26.5412,-77.0636,22.62,66,0,7.33,BS,1675717522
191,barrow,71.2906,-156.7887,-21.99,84,100,4.63,US,1675717473
192,mantua,45.1667,10.7833,3.58,84,85,2.24,IT,1675717523
193,davila,18.4726,120.5763,22.99,78,90,2.1,PH,1675717524
